game_id,seat_location
5635,right
5635,middle
5635,returning_champ
5634,right
5634,middle
5634,returning_champ
5633,right
5633,middle
5633,returning_champ
5631,right
5631,middle
5631,returning_champ
5630,right
5630,middle
5630,returning_champ
5629,right
5629,middle
5629,returning_champ
5628,right
5628,middle
5628,returning_champ
5627,right
5627,middle
5627,returning_champ
5621,right
5621,middle
5621,returning_champ
5626,right
5626,middle
5626,returning_champ
5618,right
5618,middle
5618,returning_champ
5616,right
5616,middle
5616,returning_champ
5615,right
5615,middle
5615,returning_champ
5611,right
5611,middle
5611,returning_champ
5614,right
5614,middle
5614,returning_champ
5609,right
5609,middle
5609,returning_champ
5608,right
5608,middle
5608,returning_champ
5607,right
5607,middle
5607,returning_champ
5602,right
5602,middle
5602,returning_champ
5606,right
5606,middle
5606,returning_champ
5600,right
5600,middle
5600,returning_champ
5599,right
5599,middle
5599,returning_champ
5598,right
5598,middle
5598,returning_champ
5595,right
5595,middle
5595,returning_champ
5594,right
5594,middle
5594,returning_champ
5591,right
5591,middle
5591,returning_champ
5590,right
5590,middle
5590,returning_champ
5589,right
5589,middle
5589,returning_champ
5581,right
5581,middle
5581,returning_champ
5583,right
5583,middle
5583,returning_champ
5573,right
5573,middle
5573,returning_champ
5577,right
5577,middle
5577,returning_champ
5576,right
5576,middle
5576,returning_champ
5569,right
5569,middle
5569,returning_champ
5575,right
5575,middle
5575,returning_champ
5566,right
5566,middle
5566,returning_champ
5565,right
5565,middle
5565,returning_champ
5558,right
5558,middle
5558,returning_champ
5553,right
5553,middle
5553,returning_champ
5557,right
5557,middle
5557,returning_champ
5564,right
5564,middle
5564,returning_champ
5563,right
5563,middle
5563,returning_champ
5562,right
5562,middle
5562,returning_champ
5548,right
5548,middle
5548,returning_champ
5550,right
5550,middle
5550,returning_champ
5561,right
5561,middle
5561,returning_champ
5560,right
5560,middle
5560,returning_champ
5559,right
5559,middle
5559,returning_champ
5539,right
5539,middle
5539,returning_champ
5545,right
5545,middle
5545,returning_champ
5533,right
5533,middle
5533,returning_champ
5532,right
5532,middle
5532,returning_champ
5531,right
5531,middle
5531,returning_champ
5530,right
5530,middle
5530,returning_champ
5529,right
5529,middle
5529,returning_champ
5527,right
5527,middle
5527,returning_champ
5526,right
5526,middle
5526,returning_champ
5524,right
5524,middle
5524,returning_champ
5522,right
5522,middle
5522,returning_champ
5523,right
5523,middle
5523,returning_champ
5521,right
5521,middle
5521,returning_champ
5520,right
5520,middle
5520,returning_champ
5519,right
5519,middle
5519,returning_champ
5517,right
5517,middle
5517,returning_champ
5518,right
5518,middle
5518,returning_champ
5516,right
5516,middle
5516,returning_champ
5515,right
5515,middle
5515,returning_champ
5514,right
5514,middle
5514,returning_champ
5512,right
5512,middle
5512,returning_champ
5513,right
5513,middle
5513,returning_champ
5535,right
5535,middle
5535,returning_champ
5534,right
5534,middle
5534,returning_champ
5511,right
5511,middle
5511,returning_champ
5510,right
5510,middle
5510,returning_champ
5509,right
5509,middle
5509,returning_champ
5508,right
5508,middle
5508,returning_champ
5507,right
5507,middle
5507,returning_champ
5506,right
5506,middle
5506,returning_champ
5505,right
5505,middle
5505,returning_champ
5504,right
5504,middle
5504,returning_champ
5503,right
5503,middle
5503,returning_champ
5501,right
5501,middle
5501,returning_champ
5500,right
5500,middle
5500,returning_champ
5499,right
5499,middle
5499,returning_champ
5498,right
5498,middle
5498,returning_champ
5497,right
5497,middle
5497,returning_champ
5496,right
5496,middle
5496,returning_champ
5495,right
5495,middle
5495,returning_champ
5494,right
5494,middle
5494,returning_champ
5493,right
5493,middle
5493,returning_champ
5492,right
5492,middle
5492,returning_champ
5491,right
5491,middle
5491,returning_champ
5490,right
5490,middle
5490,returning_champ
5489,right
5489,middle
5489,returning_champ
5488,right
5488,middle
5488,returning_champ
5487,right
5487,middle
5487,returning_champ
5477,right
5477,middle
5477,returning_champ
5476,right
5476,middle
5476,returning_champ
5475,right
5475,middle
5475,returning_champ
5474,right
5474,middle
5474,returning_champ
5473,right
5473,middle
5473,returning_champ
5472,right
5472,middle
5472,returning_champ
5471,right
5471,middle
5471,returning_champ
5470,right
5470,middle
5470,returning_champ
5486,right
5486,middle
5486,returning_champ
5485,right
5485,middle
5485,returning_champ
5484,right
5484,middle
5484,returning_champ
5483,right
5483,middle
5483,returning_champ
5469,right
5469,middle
5469,returning_champ
5482,right
5482,middle
5482,returning_champ
5481,right
5481,middle
5481,returning_champ
5480,right
5480,middle
5480,returning_champ
5479,right
5479,middle
5479,returning_champ
5468,right
5468,middle
5468,returning_champ
5478,right
5478,middle
5478,returning_champ
5467,right
5467,middle
5467,returning_champ
5466,right
5466,middle
5466,returning_champ
5465,right
5465,middle
5465,returning_champ
5463,right
5463,middle
5463,returning_champ
5462,right
5462,middle
5462,returning_champ
5461,right
5461,middle
5461,returning_champ
5460,right
5460,middle
5460,returning_champ
5459,right
5459,middle
5459,returning_champ
5458,right
5458,middle
5458,returning_champ
5457,right
5457,middle
5457,returning_champ
5456,right
5456,middle
5456,returning_champ
5455,right
5455,middle
5455,returning_champ
5454,right
5454,middle
5454,returning_champ
5449,right
5449,middle
5449,returning_champ
5453,right
5453,middle
5453,returning_champ
5452,right
5452,middle
5452,returning_champ
5451,right
5451,middle
5451,returning_champ
5448,right
5448,middle
5448,returning_champ
5443,right
5443,middle
5443,returning_champ
5447,right
5447,middle
5447,returning_champ
5446,right
5446,middle
5446,returning_champ
5445,right
5445,middle
5445,returning_champ
5444,right
5444,middle
5444,returning_champ
5441,right
5441,middle
5441,returning_champ
5442,right
5442,middle
5442,returning_champ
5440,right
5440,middle
5440,returning_champ
5439,right
5439,middle
5439,returning_champ
5438,right
5438,middle
5438,returning_champ
5433,right
5433,middle
5433,returning_champ
5437,right
5437,middle
5437,returning_champ
5432,right
5432,middle
5432,returning_champ
5431,right
5431,middle
5431,returning_champ
5430,right
5430,middle
5430,returning_champ
5429,right
5429,middle
5429,returning_champ
5428,right
5428,middle
5428,returning_champ
5427,right
5427,middle
5427,returning_champ
5426,right
5426,middle
5426,returning_champ
5424,right
5424,middle
5424,returning_champ
5423,right
5423,middle
5423,returning_champ
5422,right
5422,middle
5422,returning_champ
5421,right
5421,middle
5421,returning_champ
5419,right
5419,middle
5419,returning_champ
5418,right
5418,middle
5418,returning_champ
5415,right
5415,middle
5415,returning_champ
5413,right
5413,middle
5413,returning_champ
5412,right
5412,middle
5412,returning_champ
5411,right
5411,middle
5411,returning_champ
5410,right
5410,middle
5410,returning_champ
5408,right
5408,middle
5408,returning_champ
5409,right
5409,middle
5409,returning_champ
5407,right
5407,middle
5407,returning_champ
5406,right
5406,middle
5406,returning_champ
5405,right
5405,middle
5405,returning_champ
5403,right
5403,middle
5403,returning_champ
5404,right
5404,middle
5404,returning_champ
5384,right
5384,middle
5384,returning_champ
5383,right
5383,middle
5383,returning_champ
5382,right
5382,middle
5382,returning_champ
5368,right
5368,middle
5368,returning_champ
5366,right
5366,middle
5366,returning_champ
5381,right
5381,middle
5381,returning_champ
5380,right
5380,middle
5380,returning_champ
5379,right
5379,middle
5379,returning_champ
5363,right
5363,middle
5363,returning_champ
5365,right
5365,middle
5365,returning_champ
5378,right
5378,middle
5378,returning_champ
5377,right
5377,middle
5377,returning_champ
5376,right
5376,middle
5376,returning_champ
5362,right
5362,middle
5362,returning_champ
5351,right
5351,middle
5351,returning_champ
5350,right
5350,middle
5350,returning_champ
5349,right
5349,middle
5349,returning_champ
5345,right
5345,middle
5345,returning_champ
5343,right
5343,middle
5343,returning_champ
5339,right
5339,middle
5339,returning_champ
5337,right
5337,middle
5337,returning_champ
5336,right
5336,middle
5336,returning_champ
5335,right
5335,middle
5335,returning_champ
5332,right
5332,middle
5332,returning_champ
5330,right
5330,middle
5330,returning_champ
5328,right
5328,middle
5328,returning_champ
5327,right
5327,middle
5327,returning_champ
5325,right
5325,middle
5325,returning_champ
5321,right
5321,middle
5321,returning_champ
5319,right
5319,middle
5319,returning_champ
5316,right
5316,middle
5316,returning_champ
5315,right
5315,middle
5315,returning_champ
5314,right
5314,middle
5314,returning_champ
5313,right
5313,middle
5313,returning_champ
5310,right
5310,middle
5310,returning_champ
5309,right
5309,middle
5309,returning_champ
5307,right
5307,middle
5307,returning_champ
5306,right
5306,middle
5306,returning_champ
5305,right
5305,middle
5305,returning_champ
5304,right
5304,middle
5304,returning_champ
5302,right
5302,middle
5302,returning_champ
5301,right
5301,middle
5301,returning_champ
5300,right
5300,middle
5300,returning_champ
5298,right
5298,middle
5298,returning_champ
5297,right
5297,middle
5297,returning_champ
5296,right
5296,middle
5296,returning_champ
5295,right
5295,middle
5295,returning_champ
5294,right
5294,middle
5294,returning_champ
5293,right
5293,middle
5293,returning_champ
5292,right
5292,middle
5292,returning_champ
5290,right
5290,middle
5290,returning_champ
5289,right
5289,middle
5289,returning_champ
5287,right
5287,middle
5287,returning_champ
5286,right
5286,middle
5286,returning_champ
5284,right
5284,middle
5284,returning_champ
5283,right
5283,middle
5283,returning_champ
5282,right
5282,middle
5282,returning_champ
5280,right
5280,middle
5280,returning_champ
5278,right
5278,middle
5278,returning_champ
5276,right
5276,middle
5276,returning_champ
5275,right
5275,middle
5275,returning_champ
5274,right
5274,middle
5274,returning_champ
5273,right
5273,middle
5273,returning_champ
5270,right
5270,middle
5270,returning_champ
5269,right
5269,middle
5269,returning_champ
5267,right
5267,middle
5267,returning_champ
5264,right
5264,middle
5264,returning_champ
5263,right
5263,middle
5263,returning_champ
5261,right
5261,middle
5261,returning_champ
5259,right
5259,middle
5259,returning_champ
5258,right
5258,middle
5258,returning_champ
5257,right
5257,middle
5257,returning_champ
5255,right
5255,middle
5255,returning_champ
5253,right
5253,middle
5253,returning_champ
5251,right
5251,middle
5251,returning_champ
5249,right
5249,middle
5249,returning_champ
5248,right
5248,middle
5248,returning_champ
5247,right
5247,middle
5247,returning_champ
5245,right
5245,middle
5245,returning_champ
5242,right
5242,middle
5242,returning_champ
5241,right
5241,middle
5241,returning_champ
5240,right
5240,middle
5240,returning_champ
5239,right
5239,middle
5239,returning_champ
5233,right
5233,middle
5233,returning_champ
5232,right
5232,middle
5232,returning_champ
5231,right
5231,middle
5231,returning_champ
5230,right
5230,middle
5230,returning_champ
5228,right
5228,middle
5228,returning_champ
5226,right
5226,middle
5226,returning_champ
5225,right
5225,middle
5225,returning_champ
5224,right
5224,middle
5224,returning_champ
5223,right
5223,middle
5223,returning_champ
5222,right
5222,middle
5222,returning_champ
5221,right
5221,middle
5221,returning_champ
5220,right
5220,middle
5220,returning_champ
5219,right
5219,middle
5219,returning_champ
5218,right
5218,middle
5218,returning_champ
5217,right
5217,middle
5217,returning_champ
5216,right
5216,middle
